agent_id,drop_reason,dropped,event_type,frequency_hz,injected_delay_s,kept_for_p0,normalized_signal,phase_rad,raw_brightness,roi_id,source_t_s,t_s
V0,,0,pi_detected_virtual_flash,,0.0,1,0.6875,,60.0,0,,32.052407
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9579,,101.0,1,,32.052407
P0,,,pi_flash,1.772413,,,,0.384895,,,,32.485995
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,32.485995,32.485995
V0,,0,pi_detected_virtual_flash,,0.0,1,0.6667,,59.0,0,,32.581396
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8592,,93.0,1,,32.581396
P0,,,pi_flash,1.774976,,,,0.128533,,,,33.043753
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,33.043753,33.043753
V0,,0,pi_detected_virtual_flash,,0.0,1,0.6552,,58.0,0,,33.210607
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8317,,94.0,1,,33.210607
P0,,,pi_flash,1.761878,,,,0.280658,,,,33.653886
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,33.653886,33.653886
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7069,,61.0,0,,33.746157
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8367,,92.0,1,,33.746157
P0,,,pi_flash,1.768187,,,,0.025267,,,,34.211219
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,34.211219,34.211219
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9138,,73.0,0,,34.411548
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8867,,100.0,1,,34.411548
P0,,,pi_flash,1.763619,,,,0.203127,,,,34.823182
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,34.823182,34.823182
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7652,,64.0,0,,34.945085
V1,,0,pi_detected_virtual_flash,,0.0,1,0.94,,104.0,1,,34.945085
P0,,,pi_flash,1.778369,,,,0.091733,,,,35.412129
