agent_id,drop_reason,dropped,event_type,frequency_hz,injected_delay_s,kept_for_p0,normalized_signal,phase_rad,raw_brightness,roi_id,source_t_s,t_s
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8501,,102.0,1,,29.575297
P0,,,pi_flash,2.291693,,,,0.131558,,,,29.909012
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,29.909012,29.909012
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7638,,64.0,0,,30.013824
V1,,0,pi_detected_virtual_flash,,0.0,1,0.86,,103.0,1,,30.013824
P0,,,pi_flash,2.294379,,,,0.465664,,,,30.375604
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,30.375604,30.375604
V1,,0,pi_detected_virtual_flash,,0.0,1,1.0,,119.0,1,,30.480724
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7455,,62.0,0,,30.542645
P0,,,pi_flash,2.295454,,,,0.26081,,,,30.809226
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,30.809226,30.809226
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7818,,64.0,0,,30.976518
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8091,,98.0,1,,30.976518
P0,,,pi_flash,2.295792,,,,0.38762,,,,31.2767
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,31.2767,31.2767
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7641,,63.0,0,,31.423244
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7818,,95.0,1,,31.423244
P0,,,pi_flash,2.293075,,,,0.39727,,,,31.742968
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,31.742968,31.742968
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7857,,64.0,0,,31.846569
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7818,,95.0,1,,31.846569
P0,,,pi_flash,2.289821,,,,0.198366,,,,32.176709
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,32.176709,32.176709
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8364,,101.0,1,,32.277825
P0,,,pi_flash,2.286822,,,,0.097865,,,,32.611113
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,32.611113,32.611113
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8148,,65.0,0,,32.810909
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8,,97.0,1,,32.810909
P0,,,pi_flash,2.278693,,,,0.210834,,,,33.077521
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,33.077521,33.077521
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8148,,65.0,0,,33.244644
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7612,,92.0,1,,33.244644
P0,,,pi_flash,2.272444,,,,0.097414,,,,33.544952
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,33.544952,33.544952
V0,,0,pi_detected_virtual_flash,,0.0,1,0.854,,67.0,0,,33.68714
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8241,,99.0,1,,33.68714
P0,,,pi_flash,2.273315,,,,0.070979,,,,34.01181
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,34.01181,34.01181
V0,,0,pi_detected_virtual_flash,,0.0,1,1.0,,75.0,0,,34.244824
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9208,,110.0,1,,34.244824
P0,,,pi_flash,2.273896,,,,0.046003,,,,34.478258
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,34.478258,34.478258
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9695,,74.0,0,,34.678334
V1,,0,pi_detected_virtual_flash,,0.0,1,0.874,,105.0,1,,34.678334
P0,,,pi_flash,2.274097,,,,0.370364,,,,34.979406
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,34.979406,34.979406
P0,,,pi_flash,2.275144,,,,0.01512,,,,35.412892
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,35.412892,35.412892
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9643,,74.0,0,,35.646213
V1,,0,pi_detected_virtual_flash,,0.0,1,0.945,,113.0,1,,35.646213
P0,,,pi_flash,2.261065,,,,0.1288,,,,35.889159
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,35.889159,35.889159
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9107,,71.0,0,,36.079605
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9725,,116.0,1,,36.079605
P0,,,pi_flash,2.239211,,,,1.927396,,,,36.50018
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,36.50018,36.50018
P0,,,pi_flash,2.239386,,,,0.773667,,,,36.867563
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,36.867563,36.867563
