t_s,phase_rad,frequency_hz,phase_error_rad,follower_flash,loop_dt_ms
21.385151,3.205608,1.998486,0.157812,0,75.972
21.466644,4.232159,1.998492,0.154315,0,81.493
21.546392,5.23676,1.998496,0.150861,0,79.748
21.618746,6.148469,1.998497,0.147473,0,72.355
21.68515,0.702175,1.998496,0.134546,1,66.404
21.745089,1.4578,1.998494,0.131329,0,59.939
21.810726,2.284894,1.99849,0.128185,0,65.637
21.88634,3.237189,1.998486,0.1251,0,75.614
21.968148,4.267171,1.998481,0.12208,0,81.807
22.047837,5.270485,1.998475,0.119143,0,79.689
22.11879,6.164026,1.998469,0.116301,0,70.953
22.183589,0.697068,1.998472,0.119921,1,64.799
22.243358,1.450092,1.998481,0.118063,0,59.769
22.307914,2.263195,1.998496,0.116296,0,64.556
22.383995,3.22098,1.998516,0.114696,0,76.081
22.465536,4.247307,1.998539,0.113187,0,81.541
22.545098,5.248754,1.998564,0.11168,0,79.562
22.617926,6.165614,1.998592,0.11012,0,72.828
22.684358,0.71899,1.998612,0.117361,1,66.432
22.744502,1.476598,1.998626,0.114823,0,60.145
22.809773,2.29857,1.998635,0.112271,0,65.271
22.885147,3.247386,1.99864,0.109699,0,75.374
22.967105,4.278862,1.998642,0.107125,0,81.958
23.047177,5.286618,1.998641,0.104586,0,80.072
23.119141,6.192525,1.998638,0.10211,0,71.964
23.184557,0.732937,1.998636,0.090674,1,65.416
23.244181,1.483719,1.998634,0.088572,0,59.623
23.30983,2.310119,1.998633,0.08654,0,65.65
23.386716,3.277561,1.998632,0.084574,0,76.886
23.467645,4.295716,1.998632,0.082669,0,80.929
23.547749,5.303462,1.998632,0.080817,0,80.104
23.620147,6.214395,1.998632,0.079015,0,72.398
23.684254,0.737936,1.998632,0.068806,1,64.106
23.743637,1.485284,1.998632,0.067127,0,59.384
23.808599,2.302618,1.998632,0.06552,0,64.962
23.884478,3.256998,1.998633,0.063977,0,75.879
23.966124,4.283747,1.998633,0.062492,0,81.646
24.045908,5.287055,1.998634,0.061057,0,79.783
24.118546,6.200598,1.998635,0.059666,0,72.639
24.184822,0.751114,1.998634,0.082516,1,66.276
24.244859,1.506504,1.998633,0.081031,0,60.037
24.310067,2.326856,1.998632,0.079501,0,65.208
24.386151,3.283802,1.99863,0.077933,0,76.084
24.468161,4.315175,1.998628,0.076347,0,82.01
24.548027,5.319621,1.998626,0.074758,0,79.866
24.619709,6.221272,1.998623,0.073181,0,71.681
24.685112,0.760852,1.998623,0.062077,1,65.404
24.74528,1.517819,1.998624,0.060782,0,60.168
24.811309,2.348357,1.998627,0.059547,0,66.029
24.886629,3.295521,1.998631,0.058376,0,75.32
24.968712,4.327582,1.998635,0.057258,0,82.083
25.047906,5.323338,1.99864,0.056165,0,79.194
25.11948,6.223381,1.998646,0.055084,0,71.575
25.184118,0.753123,1.998652,0.059956,1,64.638
25.243677,1.502274,1.998658,0.058877,0,59.559
25.308341,2.315514,1.998665,0.057814,0,64.664
25.384209,3.269448,1.998671,0.056785,0,75.868
25.465691,4.293876,1.998678,0.055778,0,81.482
25.545747,5.300381,1.998685,0.054779,0,80.056
25.618577,6.216124,1.998691,0.053776,0,72.83
25.685124,0.769825,1.998698,0.067199,1,66.547
25.74443,1.515813,1.998705,0.066138,0,59.306
25.809177,2.330154,1.998711,0.065057,0,64.747
25.885553,3.290546,1.998718,0.063978,0,76.376
25.966825,4.312426,1.998724,0.062894,0,81.272
26.047369,5.325166,1.99873,0.061802,0,80.544
26.117997,6.213375,1.998737,0.06069,0,70.628
26.184047,0.760944,1.998747,0.070346,1,66.05
26.244252,1.518325,1.99876,0.06956,0,60.205
26.309119,2.334267,1.998776,0.068783,0,64.866
26.385218,3.291286,1.998793,0.068071,0,76.099
26.466451,4.312807,1.998812,0.06738,0,81.234
26.546812,5.323377,1.998832,0.066668,0,80.361
26.618379,6.223518,1.998853,0.065878,0,71.567
26.685546,0.785197,1.998867,0.059427,1,67.167
26.744971,1.532797,1.998877,0.057911,0,59.425
26.810163,2.352808,1.998882,0.056399,0,65.192
26.88656,3.313508,1.998883,0.05487,0,76.396
26.968568,4.344661,1.998882,0.053349,0,82.008
27.048002,5.343459,1.998879,0.051867,0,79.434
27.119061,6.237037,1.998874,0.050447,0,71.059
27.183592,0.765397,1.99888,0.047176,1,64.53
27.243231,1.515482,1.998895,0.047035,0,59.639
27.307852,2.328124,1.998917,0.046997,0,64.621
27.383878,3.283999,1.998945,0.047152,0,76.026
27.465856,4.31462,1.998977,0.047405,0,81.978
27.545669,5.318057,1.999012,0.047621,0,79.813
27.617563,6.222044,1.99905,0.047711,0,71.894
27.684035,0.774817,1.999088,0.061998,1,66.473
27.744464,1.534916,1.999127,0.061727,0,60.429
27.809889,2.357824,1.999166,0.061463,0,65.425
27.885569,3.309575,1.999205,0.061276,0,75.68
27.96749,4.339766,1.999244,0.061122,0,81.921
28.047048,5.340302,1.999282,0.060902,0,79.558
28.119055,6.246018,1.99932,0.060563,0,72.007
28.18506,0.793079,1.999342,0.036249,1,66.005
28.245053,1.547729,1.99935,0.034323,0,59.993
28.310409,2.369674,1.999347,0.032398,0,65.355
28.386124,3.321701,1.999337,0.030399,0,75.716
28.468143,4.352842,1.999319,0.028382,0,82.019
28.547195,5.34666,1.999296,0.026475,0,79.053
28.619094,6.250551,1.999269,0.024733,0,71.899
28.683894,0.782057,1.999255,0.033448,1,64.8
28.743673,1.533681,1.999252,0.033509,0,59.78
28.808132,2.344077,1.999258,0.033635,0,64.459
28.883701,3.294031,1.999271,0.033902,0,75.568
28.965373,4.320665,1.999289,0.034242,0,81.672
29.045736,5.330869,1.999311,0.034556,0,80.364
29.118762,6.24891,1.999337,0.034767,0,73.026
29.184656,0.794178,1.99935,0.033552,1,65.894
29.245108,1.554277,1.999354,0.032199,0,60.453
29.309552,2.364502,1.99935,0.030809,0,64.444
29.386327,3.329624,1.99934,0.029296,0,76.775
29.467875,4.354672,1.999325,0.027752,0,81.547
29.547338,5.353513,1.999306,0.026256,0,79.464
29.619599,6.261838,1.999284,0.024869,0,72.261
29.685704,0.809612,1.999259,0.020644,1,66.105
29.745757,1.564494,1.999233,0.019463,0,60.052
29.810337,2.376209,1.999205,0.018277,0,64.58
29.886301,3.330875,1.999177,0.017018,0,75.964
29.968656,4.365785,1.999148,0.015739,0,82.355
