agent_id,fire_count,flash_on,frequency_hz,phase_rad,pi_flash_events_consumed,received_neighbour_events,role,t_s,topology
P0,51,0,1.625592,1.416015,,0,pi,26.800833,all_to_all
V0,50,0,1.651394,3.464455,51,100,virtual,27.001974,all_to_all
V1,49,0,1.651394,3.464426,51,101,virtual,27.001974,all_to_all
P0,51,0,1.618129,3.30237,,0,pi,27.001974,all_to_all
V0,50,0,1.648974,5.802647,51,100,virtual,27.2343,all_to_all
V1,49,0,1.648973,5.802623,51,101,virtual,27.2343,all_to_all
P0,51,0,1.609474,5.470963,,0,pi,27.2343,all_to_all
V0,51,1,1.646311,1.520278,52,102,virtual,27.442337,all_to_all
V1,50,1,1.64631,1.520255,52,103,virtual,27.442337,all_to_all
P0,52,0,1.604928,1.186236,,0,pi,27.442337,all_to_all
V0,51,0,1.638444,3.819562,52,102,virtual,27.668761,all_to_all
V1,50,0,1.638444,3.819542,52,103,virtual,27.668761,all_to_all
P0,52,0,1.598843,3.287784,,0,pi,27.668761,all_to_all
V0,51,0,1.629402,6.092286,52,102,virtual,27.901425,all_to_all
V1,50,0,1.629402,6.092268,52,103,virtual,27.901425,all_to_all
P0,52,0,1.594318,5.452221,,0,pi,27.901425,all_to_all
V0,52,1,1.622205,1.74708,53,104,virtual,28.107691,all_to_all
V1,51,1,1.622205,1.747065,53,105,virtual,28.107691,all_to_all
P0,53,0,1.59212,1.147399,,2,pi,28.107691,all_to_all
V0,52,0,1.614769,3.992467,53,104,virtual,28.335728,all_to_all
V1,51,0,1.614768,3.992453,53,105,virtual,28.335728,all_to_all
P0,53,0,1.589182,3.366923,,0,pi,28.335728,all_to_all
V0,52,0,1.608356,6.228223,53,104,virtual,28.568491,all_to_all
V1,51,0,1.608355,6.228212,53,105,virtual,28.568491,all_to_all
P0,53,0,1.586217,5.663841,,0,pi,28.568491,all_to_all
V0,53,1,1.603576,1.857606,54,106,virtual,28.768759,all_to_all
V1,52,1,1.603576,1.857595,54,107,virtual,28.768759,all_to_all
P0,54,0,1.584607,1.363112,,2,pi,28.768759,all_to_all
V0,53,0,1.599373,3.777394,54,106,virtual,28.969731,all_to_all
V1,52,0,1.599373,3.777385,54,107,virtual,28.969731,all_to_all
P0,54,0,1.580583,3.277677,,0,pi,28.969731,all_to_all
V0,53,0,1.595122,6.019922,54,106,virtual,29.202176,all_to_all
V1,52,0,1.595122,6.019914,54,107,virtual,29.202176,all_to_all
P0,54,0,1.575273,5.447372,,0,pi,29.202176,all_to_all
V0,54,1,1.592318,1.340022,55,108,virtual,29.404063,all_to_all
V1,53,1,1.592318,1.340014,55,109,virtual,29.404063,all_to_all
P0,55,0,1.572399,1.081976,,0,pi,29.404063,all_to_all
V0,54,0,1.58463,3.891967,55,108,virtual,29.636396,all_to_all
V1,53,0,1.58463,3.891961,55,109,virtual,29.636396,all_to_all
P0,55,0,1.567065,3.23066,,0,pi,29.636396,all_to_all
V0,54,0,1.577365,6.110225,55,108,virtual,29.869206,all_to_all
V1,53,0,1.577365,6.11022,55,109,virtual,29.869206,all_to_all
P0,55,0,1.561924,5.379678,,0,pi,29.869206,all_to_all
V0,55,1,1.572595,1.401715,56,110,virtual,30.07498,all_to_all
V1,54,1,1.572595,1.40171,56,111,virtual,30.07498,all_to_all
P0,56,0,1.559963,1.061228,,2,pi,30.07498,all_to_all
V0,55,0,1.566614,3.596304,56,110,virtual,30.303455,all_to_all
V1,54,0,1.566614,3.5963,56,111,virtual,30.303455,all_to_all
P0,56,0,1.557069,3.248287,,0,pi,30.303455,all_to_all
V0,55,0,1.560766,6.098334,56,110,virtual,30.536194,all_to_all
V1,54,0,1.560766,6.09833,56,111,virtual,30.536194,all_to_all
P0,56,0,1.55524,5.512738,,0,pi,30.536194,all_to_all
V0,56,1,1.556082,1.684089,57,112,virtual,30.738332,all_to_all
